Thread,Thread diameter,Pitch,Pitch diameter,Core diameter,Bolt hole
M0.25,0.25,0.075,0.201,0.165,0.3
M0.3,0.3,0.08,0.248,0.21,0.35
M0.35,0.35,0.09,0.292,0.25,0.4
M0.4,0.4,0.1,0.335,0.288,0.45
M0.45,0.45,0.1,0.385,0.338,0.5
M0.5,0.5,0.125,0.419,0.378,0.55
M0.55,0.55,0.125,0.469,0.428,0.6
M0.6,0.6,0.15,0.503,0.432,0.65
M0.7,0.7,0.175,0.586,0.504,0.75
M0.8,0.8,0.2,0.67,0.576,0.85
M0.9,0.9,0.225,0.754,0.648,0.95
M1,1,0.25,0.838,0.693,1.1
M1x0.2,1,0.2,0.87,0.755,1.1
M1.1,1.1,0.25,0.938,0.793,1.2
M1.1x0.2,1.1,0.2,0.97,0.837,1.2
M1.2,1.2,0.25,1.038,0.893,1.3
M1.2x0.2,1.2,0.2,1.07,0.937,1.3
M1.4,1.4,0.3,1.205,1.032,1.5
M1.4x0.2,1.4,0.2,1.27,1.137,1.5
M1.6,1.6,0.35,1.373,1.171,1.8
M1.6x0.2,1.6,0.2,1.47,1.337,1.8
M1.8,1.8,0.35,1.573,1.371,2.3
M1.8x0.2,1.8,0.2,1.67,1.537,2.3
M2,2,0.4,1.74,1.509,2.4
M2x0.25,2,0.25,1.838,1.671,2.4
M2.2,2.2,0.45,1.908,1.648,2.4
M2.2x0.25,2.2,0.25,2.038,1.871,2.4
M2.5,2.5,0.45,2.208,1.948,2.9
M2.5x0.35,2.5,0.35,2.273,2.039,2.9
M3,3,0.5,2.675,2.387,3.4
M3x0.35,3,0.35,2.773,2.539,3.4
M3.5,3.5,0.6,3.11,2.764,4
M3.5x0.35,3.5,0.35,3.273,3.039,4
M4,4,0.7,3.545,3.141,4.5
M4x0.5,4,0.5,3.675,3.343,4.5
M4.5,4.5,0.75,4.013,3.58,4.5
M4.5x0.5,4.5,0.5,4.175,3.843,5
M5,5,0.8,4.48,4.0185,5.5
M5x0.5,5,0.5,4.675,4.343,5.5
M5.5,5.5,0.5,5.175,4.887,5.5
M6,6,1,5.35,4.773,6.6
M6x0.75,6,0.75,5.513,5.014,6.6
M6x0.5,6,0.5,5.675,5.343,6.6
M8,8,1.25,7.188,6.466,9
M8x1,8,1,7.35,6.684,9
M8x0.75,8,0.75,7.513,7.014,9
M8x0.5,8,0.5,7.675,7.343,9
M10,10,1.5,9.026,8.16,11
M10x1.25,10,1.25,9.188,8.355,11
M10x1,10,1,9.35,8.684,11
M10x0.75,10,0.75,9.513,9.014,11
M10x0.5,10,0.5,9.675,9.343,11
M11,11,1.5,10.026,9.16,12
M11x1,11,1,10.35,9.773,12
M11x0.75,11,0.75,10.513,10.08,12
M12,12,1.75,10.683,9.853,13.5
M12x1.5,12,1.5,11.026,10.16,13.5
M12x1.25,12,1.25,11.188,10.466,13.5
M12x1,12,1,11.35,10.773,13.5
M14,14,2,12.701,11.546,15.5
M16,16,2,14.701,13.546,17.5
M18,18,2.5,16.376,14.933,20
M20,20,2.5,18.376,16.933,22
